year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2018;Ja;Medisin og helsefag;Dermatologi og venerologi;137,694260386
2018;Ja;Medisin og helsefag;Biomedisin;2651,872566612
2018;Ja;Medisin og helsefag;Anestesi, intensiv, akutt;188,574423003
2018;Ja;Realfag og teknologi;Tverrfaglig teknologi;372,048873386
2018;Ja;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;2977,598530777
2018;Ja;Realfag og teknologi;Miljøteknologi og industriell økologi;752,251777676
2018;Ja;Realfag og teknologi;Materialteknologi;996,249370331
2018;Ja;Realfag og teknologi;Matematikk;1193,197315140
2018;Ja;Realfag og teknologi;Maskinteknikk;439,214726695
2018;Ja;Realfag og teknologi;Marin og maritim teknologi;324,418130484
2018;Ja;Realfag og teknologi;Kjemisk teknologi;464,110271014
2018;Ja;Realfag og teknologi;Kjemi;967,549198786
2018;Ja;Realfag og teknologi;Informatikk og datateknikk;1782,462591096
2018;Ja;Realfag og teknologi;Industriell økonomi;60,599827307
2018;Ja;Realfag og teknologi;Geofag;5730,841354369
2018;Ja;Realfag og teknologi;Generell teknologi;350,611508238
2018;Ja;Realfag og teknologi;Fysikk;3582,626343126
2018;Ja;Realfag og teknologi;Energi;783,482757154
2018;Ja;Realfag og teknologi;Elkraft og elektrotekniske fag;265,540255366
2018;Ja;Realfag og teknologi;Elektronikk og kybernetikk;606,484770593
2018;Ja;Realfag og teknologi;Bygg og konstruksjonsteknikk;504,628920073
2018;Ja;Realfag og teknologi;Bioteknologi;261,641227710
2018;Ja;Realfag og teknologi;Biologi;4791,263699229
2018;Ja;Realfag og teknologi;Anvendt geologi og petroleumsfag;242,151037417
2018;Ja;Samfunnsvitenskap;Økonomisk-administrative fag;1222,893738157
2018;Ja;Samfunnsvitenskap;Utviklingsstudier;152,796580977
2018;Ja;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;543,045272166
2018;Ja;Samfunnsvitenskap;Statsvitenskap;636,239840552
2018;Ja;Samfunnsvitenskap;Sosiologi;269,829426456
2018;Ja;Samfunnsvitenskap;Sosialforskning;392,454690936
2018;Ja;Samfunnsvitenskap;Sosialantropologi;93,709229420
2018;Ja;Samfunnsvitenskap;Samfunnsøkonomi;711,122140108
2018;Ja;Samfunnsvitenskap;Rettsvitenskap;204,302589606
2018;Ja;Samfunnsvitenskap;Pedagogikk og utdanning;729,429354214
2018;Ja;Samfunnsvitenskap;Kjønnsforskning;31,258118796
2018;Ja;Samfunnsvitenskap;Geografi;477,885184820
2018;Ja;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;191,512086610
2018;Nei;Humaniora;Tysk og nederlandsk;12,7
2018;Nei;Humaniora;Tverrfaglig humanistisk forskning;205,574007383
2018;Nei;Humaniora;Teologi og religionsvitenskap;557,121373421
2018;Nei;Humaniora;Teatervitenskap og drama;27,763695331
2018;Nei;Humaniora;Slavisk-baltisk;30,4
2018;Nei;Humaniora;Romansk;49,242640687
2018;Nei;Humaniora;Nordisk;210,454481148
2018;Nei;Humaniora;Musikkvitenskap;126,466369880
2018;Nei;Humaniora;Medier og kommunikasjon;196,164123175
